@relation train

@attribute OverlapRatioORG numeric
@attribute OverlapRatioLOC numeric
@attribute OverlapRatioPRS numeric
@attribute Label {DIFF,EVENT,DUP}

@data
-25.967863,-20.318709,-20.414169,DIFF
92.35871,81.250516,93.891609,DUP
10.024613,1.372863,3.807013,EVENT
-23.903028,-27.688726,-26.781526,DIFF
84.623403,95.664987,86.295861,DUP
13.824331,9.667493,10.289472,EVENT
-20.763581,-22.011817,-25.811257,DIFF
95.664065,91.441951,94.043535,DUP
7.200276,0.047199,17.7166,EVENT
-27.147903,-27.183873,-21.344555,DIFF
87.029541,83.564113,89.817679,DUP
0.816909,12.066609,10.055779,EVENT
-28.758278,-23.999048,-29.900637,DIFF
89.492674,91.680988,86.720044,DUP
4.533065,12.332309,15.602107,EVENT
-25.811698,-20.768337,-24.520907,DIFF
82.640936,95.854568,82.147681,DUP
2.773449,4.115597,14.911832,EVENT
-27.777453,-27.791996,-28.181053,DIFF
98.530463,87.510215,92.404459,DUP
0.841617,5.110225,12.110204,EVENT
-23.136793,-29.221144,-27.958985,DIFF
80.682537,87.128051,84.804998,DUP
16.555729,8.215644,17.972953,EVENT
-22.324958,-28.184949,-22.807576,DIFF
81.336654,80.003853,97.736157,DUP
10.69714,14.636277,6.016434,EVENT
-22.63706,-26.597411,-27.116071,DIFF
96.353146,83.363873,98.245045,DUP
16.844092,3.251781,1.576002,EVENT
-27.773355,-20.553222,-24.114089,DIFF
90.613223,96.572659,96.86687,DUP
6.810738,5.033372,2.781773,EVENT
-23.883404,-29.955736,-22.587068,DIFF
97.433915,99.150871,85.115628,DUP
15.320144,6.683618,7.298267,EVENT
-26.980229,-27.69756,-24.361922,DIFF
95.156929,87.427366,87.177702,DUP
0.748098,17.641303,16.598334,EVENT
-22.114133,-23.277924,-24.661024,DIFF
83.271567,92.232175,86.427185,DUP
16.207156,19.008796,6.471745,EVENT
-24.505953,-26.938483,-22.791235,DIFF
88.694763,81.8936,86.663334,DUP
15.987463,13.935284,2.011415,EVENT
-24.671704,-22.8571,-25.256339,DIFF
80.623322,98.553078,91.975819,DUP
4.21554,16.053269,19.801459,EVENT
-24.920255,-21.92526,-28.592267,DIFF
89.154118,85.606539,91.718239,DUP
17.343698,12.848499,11.366732,EVENT
-26.578629,-29.23437,-20.002525,DIFF
86.124963,84.610497,86.35367,DUP
0.969268,9.777237,6.993087,EVENT
-29.602391,-29.066564,-20.085078,DIFF
99.524269,92.263038,82.011814,DUP
18.688683,6.591368,14.846497,EVENT
-24.084658,-23.186494,-26.048234,DIFF
89.114705,88.390228,94.072779,DUP
4.504815,12.325087,7.356188,EVENT
-23.868186,-26.312611,-23.950312,DIFF
84.917856,94.637625,88.594682,DUP
8.580841,1.088663,9.185272,EVENT
-29.400108,-27.914139,-23.133766,DIFF
92.355479,82.737134,81.748507,DUP
11.853335,17.419082,7.522941,EVENT
-23.151823,-25.204269,-24.978058,DIFF
88.025469,80.988357,95.002507,DUP
0.426745,11.810956,18.165777,EVENT
-21.337436,-29.592251,-22.783037,DIFF
81.949911,87.083192,84.978042,DUP
7.906139,14.958688,15.637349,EVENT
-24.939198,-24.143731,-21.387839,DIFF
82.368474,89.302649,89.971018,DUP
10.779971,15.084964,12.384068,EVENT
-22.826087,-28.230588,-29.843818,DIFF
94.836745,95.446134,86.207652,DUP
13.076044,3.645656,10.886194,EVENT
-22.275373,-27.788991,-28.05742,DIFF
94.381268,80.295818,89.227261,DUP
16.18789,10.997906,4.574104,EVENT
-23.383806,-20.436145,-20.246771,DIFF
89.961062,88.475577,89.995037,DUP
15.722061,13.355746,4.468577,EVENT
-26.38738,-29.223538,-23.417121,DIFF
84.069645,89.213782,90.415633,DUP
19.754993,9.282378,11.867833,EVENT
-25.239492,-28.934079,-21.157466,DIFF
91.120348,80.425951,83.769408,DUP
13.61395,2.654039,12.493702,EVENT
-26.258763,-24.01328,-26.77413,DIFF
94.909826,81.705425,84.01539,DUP
9.449729,0.125458,14.100344,EVENT
-21.014814,-24.427999,-23.691023,DIFF
98.095937,86.051547,92.521384,DUP
13.155804,13.12064,5.655323,EVENT
-28.781753,-25.258619,-26.990144,DIFF
91.702817,91.076775,83.974398,DUP
15.708663,17.835708,8.286783,EVENT
-25.974888,-26.31623,-22.601768,DIFF
91.529286,86.482766,99.256588,DUP
19.37898,13.268062,18.614741,EVENT
-20.658819,-24.18477,-26.344899,DIFF
81.667643,94.021963,86.24378,DUP
11.974196,18.751048,4.636477,EVENT
-23.551307,-26.829043,-22.437343,DIFF
88.690434,92.068082,85.663172,DUP
19.475198,16.033409,4.519285,EVENT
-25.969345,-27.547874,-29.332939,DIFF
85.432271,89.584076,96.345338,DUP
4.146137,17.761237,7.8536,EVENT
-29.866747,-24.762469,-23.600699,DIFF
82.598839,83.311017,97.403574,DUP
12.439378,4.199729,11.429364,EVENT
-28.915418,-25.928475,-20.122275,DIFF
92.290474,97.121028,99.42627,DUP
12.179659,12.525389,3.466371,EVENT
-26.018699,-21.321325,-28.45088,DIFF
92.057616,92.107662,99.958988,DUP
3.084218,15.52909,12.466187,EVENT
-24.411522,-24.656589,-27.785923,DIFF
96.311327,88.584155,91.959682,DUP
0.355351,15.042712,10.160808,EVENT
-20.705424,-26.305941,-26.540722,DIFF
81.476543,96.191313,98.032562,DUP
17.949865,5.284353,13.946914,EVENT
-27.363288,-27.37511,-27.185346,DIFF
95.534136,95.812036,83.426294,DUP
1.428904,11.794667,19.106713,EVENT
-24.49342,-27.594031,-22.105348,DIFF
86.284874,89.192933,91.53563,DUP
3.379743,15.091343,16.456031,EVENT
-25.789584,-29.105875,-23.210155,DIFF
96.071348,98.149313,92.329164,DUP
2.972014,3.850703,4.558101,EVENT
-24.869811,-27.1699,-20.667716,DIFF
97.474493,82.567868,88.114309,DUP
7.071753,6.008508,12.755456,EVENT
-22.123538,-20.127639,-23.408452,DIFF
98.101812,84.884984,98.956335,DUP
11.616614,17.816188,11.523676,EVENT
-20.52183,-25.97281,-24.173061,DIFF
90.601132,96.236085,97.585232,DUP
6.993892,3.665944,14.564111,EVENT
-29.112127,-23.142614,-23.779631,DIFF
94.660031,96.893162,88.357538,DUP
7.190397,16.07436,17.789253,EVENT
-21.705525,-29.299458,-26.544724,DIFF
83.727152,91.0306,90.266511,DUP
0.953217,13.002946,12.716562,EVENT
-21.2562,-25.519565,-20.500925,DIFF
87.275054,86.271356,84.25102,DUP
5.483432,10.744471,13.701346,EVENT
-28.390064,-29.991235,-22.56885,DIFF
86.644923,92.947026,80.288363,DUP
6.495761,6.826781,11.452555,EVENT
-26.447302,-24.086947,-20.308937,DIFF
81.694329,86.839055,88.772017,DUP
5.982156,18.702562,17.292813,EVENT
-25.886659,-25.389817,-27.789458,DIFF
96.147614,89.978925,88.841434,DUP
17.483571,1.772378,8.844457,EVENT
-23.617369,-23.217725,-25.146945,DIFF
94.054887,96.838494,88.527553,DUP
5.889157,4.392697,5.826769,EVENT
-20.581254,-29.295793,-22.238479,DIFF
86.751364,91.062207,98.085541,DUP
0.735212,6.232581,14.094235,EVENT
-26.073685,-25.231819,-26.584848,DIFF
92.741659,85.694016,80.863849,DUP
18.437146,3.189271,6.206885,EVENT
-23.675665,-24.327737,-26.223767,DIFF
83.587506,88.963664,88.832152,DUP
12.927669,18.938871,6.140483,EVENT
-26.899592,-24.519214,-25.495166,DIFF
92.900043,82.619764,81.653705,DUP
5.252109,12.015686,13.707559,EVENT
-23.446141,-25.315761,-20.672919,DIFF
91.924765,82.334474,89.407066,DUP
7.223593,11.241114,10.132746,EVENT
-20.160183,-22.35684,-27.852127,DIFF
90.935555,88.001614,89.460524,DUP
9.563905,16.803655,7.828539,EVENT
-28.541681,-27.179349,-22.37352,DIFF
91.121554,99.905924,87.836478,DUP
6.174187,11.112812,0.463252,EVENT
-24.337932,-21.540277,-21.331077,DIFF
81.167192,90.257614,82.496892,DUP
18.823086,18.920172,4.261155,EVENT
-28.621694,-27.607423,-29.465122,DIFF
94.959827,84.210029,99.261482,DUP
13.02974,5.626638,0.646992,EVENT
-21.506768,-27.796298,-23.225225,DIFF
87.589836,85.024952,88.167718,DUP
10.031403,13.161718,1.292601,EVENT
-28.892024,-20.27043,-28.546277,DIFF
84.22656,82.990812,93.659291,DUP
18.45899,11.532015,15.431593,EVENT
-22.016959,-25.341893,-23.03608,DIFF
89.12429,83.399732,97.916407,DUP
13.253938,11.209251,16.357101,EVENT
-24.527244,-20.714873,-21.757062,DIFF
88.195119,83.734575,99.370061,DUP
12.285657,0.459234,2.189129,EVENT
-20.356332,-29.063691,-29.536764,DIFF
94.058692,99.650456,84.879073,DUP
17.235059,4.226588,6.666321,EVENT
-28.95046,-22.877391,-23.860696,DIFF
88.14657,83.625306,96.987415,DUP
10.558352,19.617088,4.914896,EVENT
-26.916153,-21.460058,-21.463846,DIFF
95.672944,88.41493,96.199819,DUP
10.871997,19.563956,3.359632,EVENT
-21.001971,-23.470016,-29.144448,DIFF
87.104983,86.209676,80.354655,DUP
6.815179,16.647132,11.150264,EVENT
-28.206239,-24.791517,-29.888861,DIFF
89.252972,87.714466,90.91827,DUP
10.645091,14.023389,16.2999,EVENT
-28.782531,-27.916111,-20.199137,DIFF
80.432999,83.62762,83.260596,DUP
7.761848,9.779042,0.282445,EVENT
-21.916428,-27.068931,-25.453902,DIFF
96.638882,86.733964,81.167284,DUP
13.527418,10.244105,12.547435,EVENT
-23.326929,-25.399136,-27.354873,DIFF
94.020175,81.961263,99.433611,DUP
10.001093,14.565379,0.830284,EVENT
-25.536474,-25.040293,-28.387902,DIFF
80.833628,90.373503,98.429636,DUP
15.040017,5.416847,13.596833,EVENT
-21.997298,-21.087069,-26.302372,DIFF
99.658636,92.885813,86.005593,DUP
5.816429,17.540939,3.457532,EVENT
-26.194632,-28.81963,-24.810186,DIFF
